population_F,population_M,id,infection_F,infection_M,egg_tot,hatched
215120,215120,2,0,1,196,44
215120,215120,4,0,0,31,0
215120,215120,5,1,1,0,0
215120,215120,6,1,0,1,0
215120,215120,8,0,0,190,34
232820,232820,9,1,0,94,30
237520,232820,11,1,0,0,0
237520,232820,12,1,1,31,0
232620,238120,13,1,1,51,16
215120,232820,14,0,1,55,0
237520,237520,15,0,1,76,50
237520,237520,16,1,1,7,0
234620,234620,19,0,1,25,12
234620,234620,20,0,0,85,1
234620,232620,22,1,1,0,0
232620,237520,24,0,0,53,29
232620,237520,25,1,0,156,50
232620,237520,26,1,0,43,28
232620,233520,27,1,1,53,14
237520,237520,29,1,1,185,75
232620,234620,30,1,1,132,57
232620,234620,31,0,1,178,92
232620,232620,32,1,1,143,0
232620,232620,33,1,1,118,16
215120,215120,35,1,0,0,0
215120,215120,36,1,1,29,6
237520,237520,37,0,0,70,17
234620,234620,38,0,0,54,0
232620,237520,39,0,0,105,25
233520,233520,40,0,0,0,0
215120,215120,41,0,0,60,26
215120,215120,42,0,0,0,0
232620,233120,62,1,1,98,0
215120,233520,63,1,1,40,24
215120,233520,64,1,1,0,0
215120,233520,65,0,0,90,54
215120,233520,66,0,0,64,11
215120,215120,67,1,1,50,39
215120,215120,68,1,0,0,0
215120,237520,70,0,0,46,39
215120,237520,71,0,0,91,22
233520,237520,72,0,0,73,22
233520,237520,73,1,0,43,13
233520,237520,74,1,1,38,0
215120,215120,75,1,1,64,55
215120,215120,76,1,0,45,23
215120,215120,77,1,1,45,40
215120,233520,78,1,1,43,0
215120,237520,79,0,1,21,18
237520,233520,80,1,1,59,0
234620,233520,81,0,1,28,0
