id,name,population_F,population_M,Type,egg_tot,hatched,hours_trial,n_mating,hatch_rate,eggsPerDay,pop
X19.004,ENA_x_ENA,ENA,ENA,1x1,9,5,648,21,0.555555556,0.333333333,same
X19.005,ENA_x_ENA,ENA,ENA,1x1,6,6,648,21,1,0.222222222,same
X19.009,ENA_x_ENA,ENA,ENA,1x1,19,2,648,21,0.105263158,0.703703704,same
X19.012,PNW_x_PNW,PNW,PNW,1x1,139,98,384,68,0.705035971,8.6875,same
X19.015,PNW_x_PNW,PNW,PNW,1x1,133,87,384,68,0.654135338,8.3125,same
X19.016,PNW_x_PNW,PNW,PNW,1x1,2,0,552,68,0,0.086956522,same
X19.017,PNW_x_PNW,PNW,PNW,1x1,138,62,384,68,0.449275362,8.625,same
X19.021,PNW_x_PNW,PNW,PNW,1x1,72,20,648,68,0.277777778,2.666666667,same
X19.022,PNW_x_PNW,PNW,PNW,1x1,6,0,552,68,0,0.260869565,same
X19.031,PNW_x_PNW,PNW,PNW,1x1,45,15,648,68,0.333333333,1.666666667,same
X19.037,PNW_x_PNW,PNW,PNW,1x1,92,36,648,68,0.391304348,3.407407407,same
X19.038,PNW_x_PNW,PNW,PNW,1x1,98,61,648,68,0.62244898,3.62962963,same
X19.039,PNW_x_PNW,PNW,PNW,1x1,87,39,648,68,0.448275862,3.222222222,same
X19.040,PNW_x_PNW,PNW,PNW,1x1,151,60,648,68,0.397350993,5.592592593,same
X19.041,PNW_x_PNW,PNW,PNW,1x1,0,0,552,68,NA,0,same
X19.042,PNW_x_PNW,PNW,PNW,1x1,122,67,552,68,0.549180328,5.304347826,same
X19.043,PNW_x_PNW,PNW,PNW,1x1,140,44,408,68,0.314285714,8.235294118,same
X19.044,PNW_x_PNW,PNW,PNW,1x1,125,11,480,68,0.088,6.25,same
X19.046,PNW_x_PNW,PNW,PNW,1x1,33,9,672,68,0.272727273,1.178571429,same
X19.047,PNW_x_PNW,PNW,PNW,1x1,157,73,408,68,0.464968153,9.235294118,same
X19.049,ENA_x_ENA,ENA,ENA,1x1,38,7,600,21,0.184210526,1.52,same
X19.051,ENA_x_ENA,ENA,ENA,1x1,14,6,600,21,0.428571429,0.56,same
X19.052,PNW_x_PNW,PNW,PNW,1x1,78,10,600,68,0.128205128,3.12,same
X19.055,ENA_x_ENA,ENA,ENA,1x1,0,0,504,21,NA,0,same
X19.059,ENA_x_ENA,ENA,ENA,1x?,0,0,504,21,NA,0,same
X19.060,PNW_x_PNW,PNW,PNW,1x1,123,22,504,68,0.178861789,5.857142857,same
X19.063,ENA_x_ENA,ENA,ENA,1x1,0,0,504,21,NA,0,same
X19.064,PNW_x_PNW,PNW,PNW,1x1,0,0,480,68,NA,0,same
X19.065,SW_x_SW,SW,SW,1x1,108,43,720,115,0.398148148,3.6,same
X19.066,SW_x_SW,SW,SW,1x1,139,36,408,115,0.258992806,8.176470588,same
X19.067,SW_x_SW,SW,SW,1x1,36,5,840,115,0.138888889,1.028571429,same
X19.068,SW_x_SW,SW,SW,1x1,20,0,840,115,0,0.571428571,same
X19.069,ENA_x_SW,ENA,SW,1x1,0,0,576,24,NA,0,different
X19.070,SW_x_SW,SW,SW,1x1,40,0,840,115,0,1.142857143,same
X19.072,SW_x_SW,SW,SW,1x1,2,0,720,115,0,0.066666667,same
X19.073,ENA_x_SW,ENA,SW,1x1,0,0,576,24,NA,0,different
X19.074,SW_x_SW,SW,SW,1x1,62,7,840,115,0.112903226,1.771428571,same
X19.075,PNW_x_PNW,PNW,PNW,1x1,110,39,312,68,0.354545455,8.461538462,same
X19.076,PNW_x_PNW,PNW,PNW,1x1,21,0,576,68,0,0.875,same
X19.077,SW_x_SW,SW,SW,1x1,3,1,720,115,0.333333333,0.1,same
X19.078,SW_x_SW,SW,SW,1x1,4,0,720,115,0,0.133333333,same
X19.079,SW_x_SW,SW,SW,1x1,60,0,840,115,0,1.714285714,same
X19.084,ENA_x_SW,ENA,SW,1x1,1,0,840,24,0,0.028571429,different
X19.086,PNW_x_PNW,PNW,PNW,1x2,24,5,576,68,0.208333333,1,same
X19.087,ENA_x_SW,ENA,SW,1x1,0,0,576,24,NA,0,different
X19.088,SW_x_SW,SW,SW,1x2,17,0,840,115,0,0.485714286,same
X19.089,PNW_x_PNW,PNW,PNW,1x1,111,41,504,68,0.369369369,5.285714286,same
X19.090,PNW_x_PNW,PNW,PNW,1x1,5,0,576,68,0,0.208333333,same
X19.092,PNW_x_PNW,PNW,PNW,1x1,0,0,576,68,NA,0,same
X19.094,SW_x_SW,SW,SW,1x1,148,47,480,115,0.317567568,7.4,same
X19.096,PNW_x_SW,PNW,SW,1x1,25,0,816,29,0,0.735294118,different
X19.097,PNW_x_PNW,PNW,PNW,1x1,11,1,576,68,0.090909091,0.458333333,same
X19.098,SW_x_SW,SW,SW,1x1,24,7,816,115,0.291666667,0.705882353,same
X19.099,SW_x_SW,SW,SW,1x1,92,10,816,115,0.108695652,2.705882353,same
X19.102,SW_x_SW,SW,SW,1x1,6,2,816,115,0.333333333,0.176470588,same
X19.103,SW_x_PNW,SW,PNW,1x1,7,0,816,40,0,0.205882353,different
X19.104,SW_x_SW,SW,SW,1x1,4,1,768,115,0.25,0.125,same
X19.105,SW_x_PNW,SW,PNW,1x1,21,2,768,40,0.095238095,0.65625,different
X19.106,ENA_x_PNW,ENA,PNW,1x1,10,2,768,23,0.2,0.3125,different
X19.107,ENA_x_SW,ENA,SW,1x1,0,0,504,24,NA,0,different
X19.108,SW_x_PNW,SW,PNW,1x1,10,0,768,40,0,0.3125,different
X19.109,PNW_x_ENA,PNW,ENA,1x1,134,55,504,19,0.410447761,6.380952381,different
X19.110,ENA_x_SW,ENA,SW,1x1,18,0,768,24,0,0.5625,different
X19.111,PNW_x_SW,PNW,SW,1x1,36,1,768,29,0.027777778,1.125,different
X19.112,SW_x_SW,SW,SW,1x1,115,20,672,115,0.173913043,4.107142857,same
X19.113,ENA_x_PNW,ENA,PNW,1x1,25,0,768,23,0,0.78125,different
X19.114,ENA_x_PNW,ENA,PNW,1x1,56,21,768,23,0.375,1.75,different
X19.115,SW_x_PNW,SW,PNW,1x1,129,40,576,40,0.310077519,5.375,different
X19.116,SW_x_SW,SW,SW,1x1,25,2,768,115,0.08,0.78125,same
X19.117,ENA_x_PNW,ENA,PNW,1x1,0,0,480,23,NA,0,different
X19.118,ENA_x_SW,ENA,SW,1x1,96,3,744,24,0.03125,3.096774194,different
X19.119,SW_x_PNW,SW,PNW,1x1,14,0,744,40,0,0.451612903,different
X19.120,SW_x_PNW,SW,PNW,1x1,29,0,744,40,0,0.935483871,different
X19.121,SW_x_PNW,SW,PNW,1x1,0,0,480,40,NA,0,different
X19.122,SW_x_PNW,SW,PNW,1x1,36,0,744,40,0,1.161290323,different
X19.125,PNW_x_ENA,PNW,ENA,1x1,0,0,480,19,NA,0,different
X19.126,ENA_x_PNW,ENA,PNW,1x1,109,61,552,23,0.559633028,4.739130435,different
X19.129,PNW_x_SW,PNW,SW,1x1,16,0,744,29,0,0.516129032,different
X19.131,SW_x_ENA,SW,ENA,1x1,45,32,744,21,0.711111111,1.451612903,different
X19.135,SW_x_PNW,SW,PNW,1x1,92,51,648,40,0.554347826,3.407407407,different
X19.137,SW_x_PNW,SW,PNW,1x1,52,16,744,40,0.307692308,1.677419355,different
X19.139,ENA_x_SW,ENA,SW,1x1,70,0,744,23,0,2.258064516,different
X19.140,SW_x_SW,SW,SW,1x1,12,5,696,115,0.416666667,0.413793103,same
